id,chance_of_playing_next_round,chance_of_playing_this_round,dreamteam_count,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,points_per_game,second_name,selected_by_percent,team,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,singular_name_short
534,0.0,0.0,0,0.0,0.0,0,Boubacar,0.0,False,Knee injury - Unknown return date,2024-08-30T04:00:05.724805Z,49,0.0,Traoré,0.0,20,0,1058,61,4663,362,0.0,0.0,B.Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MID
535,,,0,3.7,3.2,3,Jean-Ricner,3.7,False,,,50,3.0,Bellegarde,0.1,20,12,5213,1021,2858,573,0.7,2.4,Bellegarde,267,1,0,1,7,0,0,0,1,0,0,0,4,0.21,0.02,0.23,3.63,0.07,0.0,0.01,0.08,1.22,2.36,1.35,0.34,MID
536,,,0,0.0,-0.5,0,Daniel,0.0,False,,,40,0.0,Bentley,2.0,20,0,29097,2253,39373,4016,0.0,0.0,Bentley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GKP
537,0.0,0.0,0,0.0,0.0,0,Francisco Jorge,0.0,False,Season long loan to RCD Mallorca,2024-09-01T09:12:21.111329Z,45,1.0,Tomás Oliveira,0.2,20,1,11572,0,17509,2103,0.0,0.2,Chiquinho,6,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.05,0.05,0.00,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,MID
538,0.0,0.0,0,0.0,0.0,0,Tawanda,0.0,False,Loaened to Derby County,2024-08-27T08:37:28.318365Z,45,0.0,Chirewa,0.1,20,0,1909,0,5831,434,0.0,0.0,Chirewa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MID
539,100.0,100.0,0,0.0,-0.5,0,Leon,0.0,False,,2024-09-10T11:40:34.472554Z,45,0.0,Chiwome,1.1,20,0,125054,33031,29013,8067,0.0,0.0,Chiwome,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FWD
540,,,0,0.0,-0.5,0,Luke,0.0,False,,,45,0.0,Cundle,0.3,20,0,22941,4101,12356,2441,0.0,0.0,Cundle,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MID
541,,,0,3.3,2.8,2,Matheus,3.3,False,,,65,2.8,Santos Carneiro Da Cunha,2.3,20,11,149459,10639,152847,22524,0.5,1.7,Cunha,280,1,0,0,9,0,0,0,0,0,0,0,3,1.41,0.58,1.99,3.74,0.45,0.0,0.19,0.64,1.2,2.89,0.96,0.0,FWD
542,,,0,1.3,0.8,1,Craig,1.3,False,,,45,1.2,Dawson,0.2,20,5,3229,1285,5510,708,0.3,1.1,Dawson,209,0,0,0,4,0,0,0,0,0,0,0,2,0.00,0.04,0.04,2.57,0.0,0.0,0.02,0.02,1.11,1.72,0.86,0.0,DEF
543,,,0,0.3,-0.2,1,Matt,0.3,False,,,45,0.5,Doherty,0.2,20,2,2980,314,6901,799,0.1,0.4,Doherty,208,0,0,0,9,0,0,0,0,0,0,0,2,0.08,0.08,0.16,3.61,0.03,0.0,0.03,0.06,1.56,3.89,0.87,0.0,DEF
544,,,0,1.0,0.5,1,Tommy,1.0,False,,,49,1.0,Doyle,0.0,20,3,953,85,1857,215,0.2,0.6,Doyle,44,0,0,0,1,0,0,0,0,0,0,0,0,0.04,0.06,0.10,1.14,0.08,0.0,0.12,0.2,2.33,2.05,0.0,0.0,MID
545,0.0,0.0,0,0.0,0.0,0,Fábio,0.0,False,Season long loan to Las Palmas,2024-08-30T20:53:22.805927Z,50,0.0,Silva,0.2,20,0,7594,0,25472,2309,0.0,0.0,Fábio Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FWD
546,0.0,0.0,0,0.0,0.0,0,Nathan,0.0,False,Loaned to Zulte Waregem,2024-08-26T10:19:49.301076Z,45,0.0,Fraser,3.4,20,0,86763,0,298739,28200,0.0,0.0,Fraser,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FWD
547,0.0,0.0,0,0.0,0.0,0,Enso,0.0,False,Knee injury - Unknown return date,2024-08-05T15:00:04.514369Z,45,0.0,González,0.0,20,0,2115,409,2477,311,0.0,0.0,Gonzalez,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MID
548,,,0,0.7,0.2,1,Gonçalo Manuel,0.7,False,,,54,1.0,Ganchinho Guedes,0.1,20,2,1797,130,5137,442,0.1,0.4,Guedes,19,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.01,0.01,0.73,0.0,0.0,0.05,0.05,3.46,0.0,0.0,0.0,MID
549,0.0,0.0,0,0.0,0.0,0,Hugo,0.0,False,Loaned to Feyenoord,2024-08-14T08:32:21.592368Z,45,0.0,Bueno López,0.0,20,0,0,0,1478,57,0.0,0.0,H.Bueno,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEF
550,,,0,1.0,0.5,1,Hwang,1.0,False,,,63,1.2,Hee-chan,0.5,20,5,11940,860,52167,5699,0.2,0.8,Hee Chan,197,0,0,0,8,0,0,0,0,0,0,0,2,0.00,0.15,0.15,3.35,0.0,0.0,0.07,0.07,1.53,3.65,0.91,0.0,MID
551,0.0,0.0,0,0.0,0.0,0,Joe,0.0,False,Season long to Huddersfield Town,2024-08-29T11:12:19.576028Z,45,0.0,Hodge,0.4,20,0,17482,0,33601,2648,0.0,0.0,Hodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MID
552,0.0,0.0,0,0.0,0.0,0,Ki-Jana,0.0,False,Loaned to Auxerre,2024-08-26T10:11:13.033350Z,40,0.0,Hoever,0.2,20,0,3224,0,14861,1242,0.0,0.0,Hoever,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEF
553,,,0,1.3,0.8,2,João Victor,1.3,False,,,49,1.2,Gomes da Silva,0.1,20,5,3521,749,6200,727,0.3,1.0,J.Gomes,322,0,0,0,11,0,0,0,2,0,0,0,4,0.13,0.07,0.20,4.37,0.04,0.0,0.02,0.06,1.22,3.07,1.12,0.0,MID
