id,event,finished,kickoff_time,minutes,started,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
271,28,False,2025-03-08T15:00:00Z,0,False,2,,4,,3,2
272,28,False,2025-03-08T15:00:00Z,0,False,9,,5,,2,2
273,28,False,2025-03-08T15:00:00Z,0,False,11,,6,,2,4
274,28,False,2025-03-08T15:00:00Z,0,False,10,,7,,2,3
275,28,False,2025-03-08T15:00:00Z,0,False,17,,12,,2,5
276,28,False,2025-03-08T15:00:00Z,0,False,1,,14,,5,3
277,28,False,2025-03-08T15:00:00Z,0,False,13,,16,,5,2
278,28,False,2025-03-08T15:00:00Z,0,False,3,,18,,2,4
279,28,False,2025-03-08T15:00:00Z,0,False,15,,19,,3,2
280,28,False,2025-03-08T15:00:00Z,0,False,8,,20,,2,2
281,29,False,2025-03-15T15:00:00Z,0,False,6,,1,,3,5
282,29,False,2025-03-15T15:00:00Z,0,False,12,,2,,4,4
283,29,False,2025-03-15T15:00:00Z,0,False,4,,3,,2,2
284,29,False,2025-03-15T15:00:00Z,0,False,19,,8,,2,3
285,29,False,2025-03-15T15:00:00Z,0,False,18,,9,,3,3
286,29,False,2025-03-15T15:00:00Z,0,False,16,,10,,2,2
287,29,False,2025-03-15T15:00:00Z,0,False,14,,11,,3,2
288,29,False,2025-03-15T15:00:00Z,0,False,5,,13,,2,5
289,29,False,2025-03-15T15:00:00Z,0,False,7,,15,,2,4
290,29,False,2025-03-15T15:00:00Z,0,False,20,,17,,2,2
291,30,False,2025-04-01T18:45:00Z,0,False,9,,1,,2,5
292,30,False,2025-04-01T18:45:00Z,0,False,10,,3,,2,2
293,30,False,2025-04-01T18:45:00Z,0,False,2,,5,,3,2
294,30,False,2025-04-01T18:45:00Z,0,False,14,,16,,3,2
295,30,False,2025-04-01T18:45:00Z,0,False,19,,20,,2,2
296,30,False,2025-04-02T18:45:00Z,0,False,18,,6,,3,4
297,30,False,2025-04-02T19:00:00Z,0,False,8,,12,,2,5
298,30,False,2025-04-02T18:45:00Z,0,False,11,,13,,2,5
299,30,False,2025-04-02T18:45:00Z,0,False,4,,15,,2,4
300,30,False,2025-04-02T18:45:00Z,0,False,7,,17,,2,2
301,31,False,2025-04-05T14:00:00Z,0,False,16,,2,,2,4
302,31,False,2025-04-05T14:00:00Z,0,False,6,,4,,3,2
303,31,False,2025-04-05T14:00:00Z,0,False,5,,7,,2,3
304,31,False,2025-04-05T14:00:00Z,0,False,1,,8,,5,3
305,31,False,2025-04-05T14:00:00Z,0,False,12,,9,,4,3
306,31,False,2025-04-05T14:00:00Z,0,False,20,,10,,2,2
307,31,False,2025-04-05T14:00:00Z,0,False,15,,11,,3,2
308,31,False,2025-04-05T14:00:00Z,0,False,13,,14,,5,3
309,31,False,2025-04-05T14:00:00Z,0,False,17,,18,,2,4
310,31,False,2025-04-05T14:00:00Z,0,False,3,,19,,2,2
311,32,False,2025-04-12T14:00:00Z,0,False,4,,1,,2,5
312,32,False,2025-04-12T14:00:00Z,0,False,9,,3,,2,2
313,32,False,2025-04-12T14:00:00Z,0,False,11,,5,,2,2
314,32,False,2025-04-12T14:00:00Z,0,False,10,,6,,2,4
315,32,False,2025-04-12T14:00:00Z,0,False,19,,12,,2,5
316,32,False,2025-04-12T14:00:00Z,0,False,7,,13,,2,5
317,32,False,2025-04-12T14:00:00Z,0,False,14,,15,,3,4
318,32,False,2025-04-12T14:00:00Z,0,False,8,,16,,2,2
319,32,False,2025-04-12T14:00:00Z,0,False,2,,17,,3,2
320,32,False,2025-04-12T14:00:00Z,0,False,18,,20,,3,2
321,33,False,2025-04-19T14:00:00Z,0,False,15,,2,,3,4
322,33,False,2025-04-19T14:00:00Z,0,False,5,,4,,2,2
323,33,False,2025-04-19T14:00:00Z,0,False,3,,7,,2,3
324,33,False,2025-04-19T14:00:00Z,0,False,13,,8,,5,3
325,33,False,2025-04-19T14:00:00Z,0,False,6,,9,,3,3
326,33,False,2025-04-19T14:00:00Z,0,False,1,,10,,5,2
327,33,False,2025-04-19T14:00:00Z,0,False,12,,11,,4,2
328,33,False,2025-04-19T14:00:00Z,0,False,20,,14,,2,3
329,33,False,2025-04-19T14:00:00Z,0,False,16,,18,,2,4
330,33,False,2025-04-19T14:00:00Z,0,False,17,,19,,2,2
331,34,False,2025-04-26T14:00:00Z,0,False,7,,1,,2,5
332,34,False,2025-04-26T14:00:00Z,0,False,14,,3,,3,2
333,34,False,2025-04-26T14:00:00Z,0,False,19,,5,,2,2
334,34,False,2025-04-26T14:00:00Z,0,False,8,,6,,2,4
335,34,False,2025-04-26T14:00:00Z,0,False,18,,12,,3,5
336,34,False,2025-04-26T14:00:00Z,0,False,2,,13,,3,5
337,34,False,2025-04-26T14:00:00Z,0,False,10,,15,,2,4
338,34,False,2025-04-26T14:00:00Z,0,False,4,,16,,2,2
339,34,False,2025-04-26T14:00:00Z,0,False,9,,17,,2,2
340,34,False,2025-04-26T14:00:00Z,0,False,11,,20,,2,2
341,35,False,2025-05-03T14:00:00Z,0,False,3,,1,,2,5
342,35,False,2025-05-03T14:00:00Z,0,False,9,,2,,2,4
343,35,False,2025-05-03T14:00:00Z,0,False,14,,4,,3,2
344,35,False,2025-05-03T14:00:00Z,0,False,15,,5,,3,2
345,35,False,2025-05-03T14:00:00Z,0,False,12,,6,,4,4
346,35,False,2025-05-03T14:00:00Z,0,False,16,,7,,2,3
347,35,False,2025-05-03T14:00:00Z,0,False,10,,8,,2,3
348,35,False,2025-05-03T14:00:00Z,0,False,17,,11,,2,2
349,35,False,2025-05-03T14:00:00Z,0,False,20,,13,,2,5
350,35,False,2025-05-03T14:00:00Z,0,False,18,,19,,3,2
351,36,False,2025-05-10T14:00:00Z,0,False,2,,3,,3,2
352,36,False,2025-05-10T14:00:00Z,0,False,8,,9,,2,3
353,36,False,2025-05-10T14:00:00Z,0,False,4,,10,,2,2
354,36,False,2025-05-10T14:00:00Z,0,False,1,,12,,5,5
355,36,False,2025-05-10T14:00:00Z,0,False,19,,14,,2,3
356,36,False,2025-05-10T14:00:00Z,0,False,6,,15,,3,4
357,36,False,2025-05-10T14:00:00Z,0,False,11,,16,,2,2
358,36,False,2025-05-10T14:00:00Z,0,False,13,,17,,5,2
359,36,False,2025-05-10T14:00:00Z,0,False,7,,18,,2,4
360,36,False,2025-05-10T14:00:00Z,0,False,5,,20,,2,2
361,37,False,2025-05-18T14:00:00Z,0,False,15,,1,,3,5
362,37,False,2025-05-18T14:00:00Z,0,False,18,,2,,3,4
363,37,False,2025-05-18T14:00:00Z,0,False,9,,4,,2,2
364,37,False,2025-05-18T14:00:00Z,0,False,12,,5,,4,2
365,37,False,2025-05-18T14:00:00Z,0,False,14,,6,,3,4
366,37,False,2025-05-18T14:00:00Z,0,False,20,,7,,2,3
367,37,False,2025-05-18T14:00:00Z,0,False,17,,8,,2,3
368,37,False,2025-05-18T14:00:00Z,0,False,10,,11,,2,2
369,37,False,2025-05-18T14:00:00Z,0,False,3,,13,,2,5
370,37,False,2025-05-18T14:00:00Z,0,False,16,,19,,2,2
371,38,False,2025-05-25T15:00:00Z,0,False,11,,3,,2,2
372,38,False,2025-05-25T15:00:00Z,0,False,13,,9,,5,3
373,38,False,2025-05-25T15:00:00Z,0,False,19,,10,,2,2
374,38,False,2025-05-25T15:00:00Z,0,False,7,,12,,2,5
375,38,False,2025-05-25T15:00:00Z,0,False,2,,14,,3,3
376,38,False,2025-05-25T15:00:00Z,0,False,8,,15,,2,4
377,38,False,2025-05-25T15:00:00Z,0,False,6,,16,,3,2
378,38,False,2025-05-25T15:00:00Z,0,False,1,,17,,5,2
379,38,False,2025-05-25T15:00:00Z,0,False,5,,18,,2,4
380,38,False,2025-05-25T15:00:00Z,0,False,4,,20,,2,2
